"Entity","Business Entities","Products","Data Flow","Scan Findings","Data Element","Sensitivity","Language","File Path","Field Name","Location","Source URL","Database Name","Database Instance Name","Table and Column Name","Operation Type","Operation","API Endpoint","API Field Names","Confidence"
"Amazon S3","","","","test_connection: denisolt-test-bucket/sample-file.parquet","Name","","REST API","","","","","denisolt-test-bucket","","sample-file.parquet.attributes","","","","attributes","Very Likely"
"Amazon S3","","","","test_connection: denisolt-test-bucket/sample-file.parquet","Name","","REST API","","","","","denisolt-test-bucket","","sample-file.parquet.email","","","","email","Possible"
"Amazon S3","","","","test_connection: denisolt-test-bucket/sample-file.parquet","PaymentCard","","REST API","","","","","denisolt-test-bucket","","sample-file.parquet.credit_card_number","","","","credit_card_number","Likely"
"Amazon S3","","","","test_connection: denisolt-test-bucket/sample-file.parquet","PaymentCard","","REST API","","","","","denisolt-test-bucket","","sample-file.parquet.credit_card_number","","","","credit_card_number","Very Likely"
"Amazon S3","","","","test_connection: denisolt-test-bucket/sample-file.parquet","PaymentCard","","REST API","","","","","denisolt-test-bucket","","sample-file.parquet.credit_card_number","","","","credit_card_number","Possible"
"Amazon S3","","","","test_connection: denisolt-test-bucket/sample-file.parquet","PhysicalAddress","","REST API","","","","","denisolt-test-bucket","","sample-file.parquet.name","","","","name","Very Likely"
"Amazon S3","","","","test_connection: denisolt-test-bucket/sample-file.parquet","Weight","","REST API","","","","","denisolt-test-bucket","","sample-file.parquet.attributes","","","","attributes","Very Likely"
"Amazon S3","","","","test_connection: denisolt-test-bucket/a/b/SAMPLE.json","Age","","","","","","","denisolt-test-bucket","","a/b/SAMPLE.json.dob.age","","","","dob.age","Very Likely"
"Amazon S3","","","","test_connection: denisolt-test-bucket/a/b/SAMPLE.json","Age","","REST API","","","","","denisolt-test-bucket","","a/b/SAMPLE.json.registered.age","","","","registered.age","Very Likely"
"Amazon S3","","","","test_connection: denisolt-test-bucket/a/b/SAMPLE.json","Credentials","","REST API","","","","","denisolt-test-bucket","","a/b/SAMPLE.json.login.password","","","","login.password","Likely"
"Amazon S3","","","","test_connection: denisolt-test-bucket/a/b/SAMPLE.json","DateOfBirth","Medium","REST API","","","","","denisolt-test-bucket","","a/b/SAMPLE.json.dob.date","","","","dob.date","Likely"
"Amazon S3","","","","test_connection: denisolt-test-bucket/a/b/SAMPLE.json","DateOfBirth","","REST API","","","","","denisolt-test-bucket","","a/b/SAMPLE.json.dob.age","","","","dob.age","Likely"
"Amazon S3","","","","test_connection: denisolt-test-bucket/a/b/SAMPLE.json","DateOfBirth","","REST API","","","","","denisolt-test-bucket","","a/b/SAMPLE.json.dob","","","","dob","Likely"
"Amazon S3","","","","test_connection: denisolt-test-bucket/a/b/SAMPLE.json","EmailAddress","","REST API","","","","","denisolt-test-bucket","","a/b/SAMPLE.json.email","","","","email","Likely"
"Amazon S3","","","","test_connection: denisolt-test-bucket/a/b/SAMPLE.json","EmailAddress","","REST API","","","","","denisolt-test-bucket","","a/b/SAMPLE.json.email","","","","email","Very Likely"
"Amazon S3","","","","test_connection: denisolt-test-bucket/a/b/SAMPLE.json","Gender","","REST API","","","","","denisolt-test-bucket","","a/b/SAMPLE.json.gender","","","","gender","Likely"
"Amazon S3","","","","test_connection: denisolt-test-bucket/a/b/SAMPLE.json","Name","","REST API","","","","","denisolt-test-bucket","","a/b/SAMPLE.json.email","","","","email","Likely"
"Amazon S3","","","","test_connection: denisolt-test-bucket/a/b/SAMPLE.json","Name","","REST API","","","","","denisolt-test-bucket","","a/b/SAMPLE.json.name.title","","","","name.title","Very Likely"
"Amazon S3","","","","test_connection: denisolt-test-bucket/a/b/SAMPLE.json","Name","","REST API","","","","","denisolt-test-bucket","","a/b/SAMPLE.json.name.first","","","","name.first","Very Likely"
"Amazon S3","","","","test_connection: denisolt-test-bucket/a/b/SAMPLE.json","Name","","REST API","","","","","denisolt-test-bucket","","a/b/SAMPLE.json.name.last","","","","name.last","Very Likely"
"Amazon S3","","","","test_connection: denisolt-test-bucket/a/b/SAMPLE.json","Photos","","REST API","","","","","denisolt-test-bucket","","a/b/SAMPLE.json.picture.large","","","","picture.large","Likely"
